2024-12-14T10:32:52.929Z: [32minfo[39m: OPTIONS /vehicle 204 0.124 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:32:52 GMT
2024-12-14T10:32:52.931Z: [32minfo[39m: OPTIONS /vehicle 204 0.114 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:32:52 GMT
2024-12-14T10:32:53.035Z: [32minfo[39m: GET /vehicle 304 102.752 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:32:53 GMT
2024-12-14T10:32:53.139Z: [32minfo[39m: GET /vehicle 304 102.608 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:32:53 GMT
2024-12-14T10:33:15.411Z: [32minfo[39m: OPTIONS /vehicle/675c84d4e41a330a4b51f4a7 204 0.068 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:33:15 GMT
2024-12-14T10:33:15.530Z: [32minfo[39m: PUT /vehicle/675c84d4e41a330a4b51f4a7 200 116.456 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:33:15 GMT
2024-12-14T10:33:15.535Z: [32minfo[39m: OPTIONS /vehicle 204 0.075 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:33:15 GMT
2024-12-14T10:33:15.639Z: [32minfo[39m: GET /vehicle 200 101.956 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:33:15 GMT
2024-12-14T10:34:52.039Z: [32minfo[39m: OPTIONS /vehicle/675c84d4e41a330a4b51f4a7 204 0.106 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:34:52 GMT
2024-12-14T10:34:52.147Z: [32minfo[39m: PUT /vehicle/675c84d4e41a330a4b51f4a7 200 105.864 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:34:52 GMT
2024-12-14T10:34:52.152Z: [32minfo[39m: OPTIONS /vehicle 204 0.100 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:34:52 GMT
2024-12-14T10:34:52.257Z: [32minfo[39m: GET /vehicle 200 103.668 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:34:52 GMT
2024-12-14T10:34:58.784Z: [32minfo[39m: OPTIONS /vehicle/675c84d4e41a330a4b51f4a7 204 0.058 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:34:58 GMT
2024-12-14T10:34:58.891Z: [32minfo[39m: PUT /vehicle/675c84d4e41a330a4b51f4a7 200 104.064 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:34:58 GMT
2024-12-14T10:34:58.895Z: [32minfo[39m: OPTIONS /vehicle 204 0.096 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:34:58 GMT
2024-12-14T10:34:58.999Z: [32minfo[39m: GET /vehicle 200 101.441 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:34:58 GMT
2024-12-14T10:35:04.140Z: [32minfo[39m: OPTIONS /vehicle/675c9e5450c347cda6d5bf40/status 204 0.098 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:04 GMT
2024-12-14T10:35:04.248Z: [32minfo[39m: PATCH /vehicle/675c9e5450c347cda6d5bf40/status 200 105.896 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:04 GMT
2024-12-14T10:35:04.253Z: [32minfo[39m: OPTIONS /vehicle 204 0.070 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:04 GMT
2024-12-14T10:35:04.365Z: [32minfo[39m: GET /vehicle 200 109.219 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:04 GMT
